PSMSL Site,PSMSL ID,NOAA ID,NOAA Name,RSL GridNum,Lat,Long,Regional Classification,US Coastline Intersect (1 = yes),Scenario,RSL contribution from VLM (trend: cm/year),Offset 1992 to 2000 (cm),Offset 2000 to 2005 (cm),RSL_Scenario_Year,RSL_Value_cm
MOKUOLOE_ISLAND,823,1612480,Mokuoloe,39622,21.433056,-157.79,Hawaiian Islands,1,0.5 - LOW,0.009,2,2,RSL2040 (cm),13
MOKUOLOE_ISLAND,823,1612480,Mokuoloe,39622,21.433056,-157.79,Hawaiian Islands,1,0.5 - HIGH,0.009,2,2,RSL2040 (cm),21
MOKUOLOE_ISLAND,823,1612480,Mokuoloe,39622,21.433056,-157.79,Hawaiian Islands,1,1.0 - MED,0.009,2,2,RSL2040 (cm),19
MOKUOLOE_ISLAND,823,1612480,Mokuoloe,39622,21.433056,-157.79,Hawaiian Islands,1,1.0 - LOW,0.009,2,2,RSL2040 (cm),15
MOKUOLOE_ISLAND,823,1612480,Mokuoloe,39622,21.433056,-157.79,Hawaiian Islands,1,1.0 - HIGH,0.009,2,2,RSL2040 (cm),25
MOKUOLOE_ISLAND,823,1612480,Mokuoloe,39622,21.433056,-157.79,Hawaiian Islands,1,1.5 - MED,0.009,2,2,RSL2040 (cm),23
MOKUOLOE_ISLAND,823,1612480,Mokuoloe,39622,21.433056,-157.79,Hawaiian Islands,1,1.5 - LOW,0.009,2,2,RSL2040 (cm),16
MOKUOLOE_ISLAND,823,1612480,Mokuoloe,39622,21.433056,-157.79,Hawaiian Islands,1,1.5 - HIGH,0.009,2,2,RSL2040 (cm),33
MOKUOLOE_ISLAND,823,1612480,Mokuoloe,39622,21.433056,-157.79,Hawaiian Islands,1,2.0 - MED,0.009,2,2,RSL2040 (cm),26
MOKUOLOE_ISLAND,823,1612480,Mokuoloe,39622,21.433056,-157.79,Hawaiian Islands,1,2.0 - LOW,0.009,2,2,RSL2040 (cm),17
MOKUOLOE_ISLAND,823,1612480,Mokuoloe,39622,21.433056,-157.79,Hawaiian Islands,1,2.0 - HIGH,0.009,2,2,RSL2040 (cm),39
MOKUOLOE_ISLAND,823,1612480,Mokuoloe,39622,21.433056,-157.79,Hawaiian Islands,1,0.3 - MED,0.009,2,2,RSL2050 (cm),17
MOKUOLOE_ISLAND,823,1612480,Mokuoloe,39622,21.433056,-157.79,Hawaiian Islands,1,0.3 - LOW,0.009,2,2,RSL2050 (cm),14
MOKUOLOE_ISLAND,823,1612480,Mokuoloe,39622,21.433056,-157.79,Hawaiian Islands,1,0.3 - HIGH,0.009,2,2,RSL2050 (cm),21
MOKUOLOE_ISLAND,823,1612480,Mokuoloe,39622,21.433056,-157.79,Hawaiian Islands,1,0.5 - MED,0.009,2,2,RSL2050 (cm),23
MOKUOLOE_ISLAND,823,1612480,Mokuoloe,39622,21.433056,-157.79,Hawaiian Islands,1,0.5 - LOW,0.009,2,2,RSL2050 (cm),18
MOKUOLOE_ISLAND,823,1612480,Mokuoloe,39622,21.433056,-157.79,Hawaiian Islands,1,0.5 - HIGH,0.009,2,2,RSL2050 (cm),28
MOKUOLOE_ISLAND,823,1612480,Mokuoloe,39622,21.433056,-157.79,Hawaiian Islands,1,1.0 - MED,0.009,2,2,RSL2050 (cm),28
MOKUOLOE_ISLAND,823,1612480,Mokuoloe,39622,21.433056,-157.79,Hawaiian Islands,1,1.0 - LOW,0.009,2,2,RSL2050 (cm),22
MOKUOLOE_ISLAND,823,1612480,Mokuoloe,39622,21.433056,-157.79,Hawaiian Islands,1,1.0 - HIGH,0.009,2,2,RSL2050 (cm),36
MOKUOLOE_ISLAND,823,1612480,Mokuoloe,39622,21.433056,-157.79,Hawaiian Islands,1,1.5 - MED,0.009,2,2,RSL2050 (cm),36
MOKUOLOE_ISLAND,823,1612480,Mokuoloe,39622,21.433056,-157.79,Hawaiian Islands,1,1.5 - LOW,0.009,2,2,RSL2050 (cm),26
MOKUOLOE_ISLAND,823,1612480,Mokuoloe,39622,21.433056,-157.79,Hawaiian Islands,1,1.5 - HIGH,0.009,2,2,RSL2050 (cm),51
MOKUOLOE_ISLAND,823,1612480,Mokuoloe,39622,21.433056,-157.79,Hawaiian Islands,1,2.0 - MED,0.009,2,2,RSL2050 (cm),44
MOKUOLOE_ISLAND,823,1612480,Mokuoloe,39622,21.433056,-157.79,Hawaiian Islands,1,2.0 - LOW,0.009,2,2,RSL2050 (cm),31
MOKUOLOE_ISLAND,823,1612480,Mokuoloe,39622,21.433056,-157.79,Hawaiian Islands,1,2.0 - HIGH,0.009,2,2,RSL2050 (cm),63
MOKUOLOE_ISLAND,823,1612480,Mokuoloe,39622,21.433056,-157.79,Hawaiian Islands,1,0.3 - MED,0.009,2,2,RSL2060 (cm),21
MOKUOLOE_ISLAND,823,1612480,Mokuoloe,39622,21.433056,-157.79,Hawaiian Islands,1,0.3 - LOW,0.009,2,2,RSL2060 (cm),17
MOKUOLOE_ISLAND,823,1612480,Mokuoloe,39622,21.433056,-157.79,Hawaiian Islands,1,0.3 - HIGH,0.009,2,2,RSL2060 (cm),25
MOKUOLOE_ISLAND,823,1612480,Mokuoloe,39622,21.433056,-157.79,Hawaiian Islands,1,0.5 - MED,0.009,2,2,RSL2060 (cm),29
MOKUOLOE_ISLAND,823,1612480,Mokuoloe,39622,21.433056,-157.79,Hawaiian Islands,1,0.5 - LOW,0.009,2,2,RSL2060 (cm),23
MOKUOLOE_ISLAND,823,1612480,Mokuoloe,39622,21.433056,-157.79,Hawaiian Islands,1,0.5 - HIGH,0.009,2,2,RSL2060 (cm),35
